ID_Venta	Fecha	Producto	Categoría	Cantidad	Precio_Unitario	Total
V00040	2025-07-08	Bolso	Moda	3	2004.88	6014.64
V00041	2025-07-08	Pantalón	Calzado	2	1592.86	3185.72
V00042	2025-07-08	Camisa	Calzado	4	1273.18	5092.72
V00043	2025-07-08	Bolso	Accesorios	2	2048.1	4096.2
V00044	2025-07-08	Reloj	Moda	3	762.43	2287.29
V00045	2025-07-08	Camisa	Moda	4	2103.82	8415.28
V00046	2025-07-08	Camisa	Moda	2	1873.99	3747.98
V00047	2025-07-08	Bolso	Calzado	2	1993.42	3986.84
V00048	2025-07-08	Pantalón	Moda	1	563.33	563.33
V00049	2025-07-08	Bolso	Moda	4	303.11	1212.44
V00050	2025-07-08	Zapato	Moda	3	866.41	2599.23
V00051	2025-07-08	Reloj	Calzado	4	1147.81	4591.24
V00052	2025-07-08	Camisa	Accesorios	1	2224.09	2224.09
V00053	2025-07-08	Pantalón	Accesorios	1	1348.09	1348.09
V00054	2025-07-08	Pantalón	Moda	2	699.33	1398.66
V00055	2025-07-08	Reloj	Moda	1	1296.99	1296.99
V00056	2025-07-08	Reloj	Calzado	1	2473.92	2473.92
V00057	2025-07-08	Reloj	Accesorios	2	761.1	1522.2
V00058	2025-07-08	Bolso	Accesorios	2	2169.98	4339.96
V00059	2025-07-08	Camisa	Moda	2	1647.06	3294.12
V00060	2025-07-08	Zapato	Accesorios	3	1932.57	5797.71
V00061	2025-07-08	Camisa	Moda	4	1805.6	7222.4
V00062	2025-07-08	Pantalón	Calzado	1	1634.38	1634.38
V00063	2025-07-08	Camisa	Calzado	1	1206.34	1206.34
V00064	2025-07-08	Reloj	Moda	2	429.34	858.68
V00065	2025-07-08	Zapato	Moda	4	1533.71	6134.84
V00066	2025-07-08	Camisa	Moda	1	2376.29	2376.29
V00067	2025-07-08	Reloj	Calzado	3	2159.59	6478.77
V00068	2025-07-08	Camisa	Accesorios	3	839.68	2519.04
V00069	2025-07-08	Bolso	Calzado	2	1999.34	3998.68
V00070	2025-07-08	Camisa	Moda	3	465.85	1397.55
V00071	2025-07-08	Reloj	Calzado	4	1435.41	5741.64
V00072	2025-07-08	Zapato	Accesorios	4	1312.54	5250.16
V00073	2025-07-08	Zapato	Calzado	2	734.94	1469.88
V00074	2025-07-08	Reloj	Moda	1	1456.7	1456.7
V00075	2025-07-08	Zapato	Accesorios	3	2249.18	6747.54
V00076	2025-07-08	Bolso	Moda	2	1039.68	2079.36
V00077	2025-07-08	Pantalón	Calzado	2	567.88	1135.76
V00078	2025-07-08	Zapato	Moda	4	1276.14	5104.56
V00079	2025-07-08	Pantalón	Accesorios	4	1434.48	5737.92
V00080	2025-07-08	Pantalón	Accesorios	3	1802.1	5406.3
V00081	2025-07-08	Reloj	Moda	1	1045.31	1045.31
V00082	2025-07-08	Pantalón	Accesorios	4	394.81	1579.24
V00083	2025-07-08	Camisa	Moda	3	1159.82	3479.46
V00084	2025-07-08	Bolso	Calzado	2	581.46	1162.92
V00085	2025-07-08	Bolso	Calzado	1	2401.96	2401.96
V00086	2025-07-08	Zapato	Calzado	2	933.67	1867.34
V00087	2025-07-08	Pantalón	Moda	2	2045.11	4090.22
V00088	2025-07-08	Reloj	Calzado	3	894.86	2684.58
V00089	2025-07-08	Pantalón	Moda	2	2294.66	4589.32
V00090	2025-07-08	Bolso	Moda	3	2228.83	6686.49
V00091	2025-07-08	Camisa	Calzado	2	2343.95	4687.9
V00092	2025-07-08	Pantalón	Calzado	4	534.56	2138.24
V00093	2025-07-08	Pantalón	Accesorios	4	2431.03	9724.12
V00094	2025-07-08	Reloj	Calzado	4	1778.43	7113.72
V00095	2025-07-08	Reloj	Calzado	3	1918.71	5756.13
V00096	2025-07-08	Pantalón	Calzado	1	1282.34	1282.34
V00097	2025-07-08	Zapato	Moda	4	1169.64	4678.56
V00098	2025-07-08	Camisa	Accesorios	3	2452.34	7357.02
V00099	2025-07-08	Reloj	Moda	2	1284.72	2569.44
V00100	2025-07-08	Reloj	Calzado	3	1290.04	3870.12
V00101	2025-07-08	Bolso	Moda	1	1339.96	1339.96
V00102	2025-07-08	Pantalón	Moda	1	1564.98	1564.98
V00103	2025-07-08	Pantalón	Accesorios	2	1084.02	2168.04
V00104	2025-07-08	Camisa	Accesorios	4	2470.45	9881.8
V00105	2025-07-08	Zapato	Calzado	1	894.9	894.9
V00106	2025-07-08	Zapato	Accesorios	2	1361.44	2722.88
V00107	2025-07-08	Pantalón	Accesorios	4	450.2	1800.8
V00108	2025-07-08	Bolso	Accesorios	2	2030.01	4060.02
V00109	2025-07-08	Reloj	Accesorios	1	607.04	607.04
V00110	2025-07-08	Camisa	Moda	2	1333.17	2666.34
V00111	2025-07-08	Bolso	Accesorios	3	559.18	1677.54
V00112	2025-07-08	Bolso	Accesorios	1	2478.49	2478.49
V00113	2025-07-08	Camisa	Moda	3	310.69	932.07
V00114	2025-07-08	Reloj	Accesorios	3	2197.55	6592.65
V00115	2025-07-08	Zapato	Calzado	2	1108.3	2216.6
V00116	2025-07-08	Pantalón	Calzado	4	699.58	2798.32
V00117	2025-07-08	Zapato	Accesorios	1	315.2	315.2
V00118	2025-07-08	Bolso	Accesorios	2	2084.63	4169.26
V00119	2025-07-08	Reloj	Accesorios	2	401.59	803.18
V00120	2025-07-08	Camisa	Moda	3	2284.12	6852.36
V00121	2025-07-08	Camisa	Moda	4	2107.99	8431.96
V00122	2025-07-08	Camisa	Accesorios	3	575.02	1725.06
V00123	2025-07-08	Reloj	Accesorios	4	887.33	3549.32
V00124	2025-07-08	Bolso	Calzado	1	2096.01	2096.01
V00125	2025-07-08	Bolso	Calzado	4	2062.79	8251.16
V00126	2025-07-08	Zapato	Moda	4	1397.18	5588.72
V00127	2025-07-08	Pantalón	Moda	2	2031.79	4063.58
V00128	2025-07-08	Zapato	Accesorios	3	2484.3	7452.9
V00129	2025-07-08	Reloj	Calzado	4	474.56	1898.24
V00130	2025-07-08	Pantalón	Accesorios	4	733.35	2933.4
V00131	2025-07-08	Bolso	Moda	4	824.4	3297.6
V00132	2025-07-08	Camisa	Accesorios	3	2224.97	6674.91
V00133	2025-07-08	Bolso	Accesorios	1	2059.98	2059.98
V00134	2025-07-08	Pantalón	Calzado	3	860.93	2582.79
V00135	2025-07-08	Bolso	Calzado	2	1243.98	2487.96
V00136	2025-07-08	Reloj	Accesorios	3	1893.75	5681.25
V00137	2025-07-08	Pantalón	Moda	3	674.75	2024.25
V00138	2025-07-08	Zapato	Moda	4	851.52	3406.08
V00139	2025-07-08	Bolso	Moda	3	755.93	2267.79
V00140	2025-07-08	Reloj	Calzado	2	678.46	1356.92
V00141	2025-07-08	Camisa	Moda	2	1870.27	3740.54
V00142	2025-07-08	Pantalón	Moda	1	1539.01	1539.01
V00143	2025-07-08	Bolso	Moda	1	1837.09	1837.09
V00144	2025-07-08	Camisa	Moda	1	1756.0	1756.0
V00145	2025-07-08	Pantalón	Accesorios	3	2385.77	7157.31
V00146	2025-07-08	Bolso	Accesorios	4	1297.43	5189.72
V00147	2025-07-08	Pantalón	Moda	3	2126.11	6378.33
V00148	2025-07-08	Bolso	Moda	4	1729.79	6919.16
V00149	2025-07-08	Zapato	Accesorios	4	952.74	3810.96
V00150	2025-07-08	Reloj	Calzado	1	2143.21	2143.21
V00151	2025-07-08	Bolso	Moda	3	1808.37	5425.11
V00152	2025-07-08	Bolso	Accesorios	4	1736.4	6945.6
V00153	2025-07-08	Bolso	Calzado	4	1954.04	7816.16
V00154	2025-07-08	Bolso	Accesorios	4	1883.07	7532.28
V00155	2025-07-08	Pantalón	Accesorios	4	1357.45	5429.8
V00156	2025-07-08	Reloj	Moda	1	1076.13	1076.13
V00157	2025-07-08	Pantalón	Calzado	2	2169.71	4339.42
V00158	2025-07-08	Bolso	Calzado	3	983.87	2951.61
V00159	2025-07-08	Zapato	Moda	1	1380.23	1380.23
V00160	2025-07-08	Reloj	Accesorios	4	1671.05	6684.2
V00161	2025-07-08	Camisa	Calzado	4	1605.23	6420.92
V00162	2025-07-08	Bolso	Moda	3	1093.3	3279.9
V00163	2025-07-08	Camisa	Moda	1	310.88	310.88
V00164	2025-07-08	Reloj	Calzado	1	1095.99	1095.99
V00165	2025-07-08	Reloj	Accesorios	4	674.37	2697.48
V00166	2025-07-08	Camisa	Calzado	4	1719.78	6879.12
V00167	2025-07-08	Pantalón	Calzado	4	376.34	1505.36
V00168	2025-07-08	Camisa	Accesorios	4	971.64	3886.56
V00169	2025-07-08	Reloj	Moda	2	382.33	764.66
V00170	2025-07-08	Pantalón	Moda	2	843.78	1687.56
V00171	2025-07-08	Reloj	Moda	2	1831.85	3663.7
V00172	2025-07-08	Zapato	Moda	1	2273.04	2273.04
V00173	2025-07-08	Reloj	Moda	1	878.26	878.26
V00174	2025-07-08	Pantalón	Accesorios	3	853.5	2560.5
V00175	2025-07-08	Reloj	Accesorios	3	1395.94	4187.82
V00176	2025-07-08	Pantalón	Moda	4	1082.05	4328.2
V00177	2025-07-08	Pantalón	Moda	2	464.6	929.2
V00178	2025-07-08	Reloj	Accesorios	3	1306.41	3919.23
V00179	2025-07-08	Bolso	Accesorios	2	1856.52	3713.04
V00180	2025-07-08	Zapato	Accesorios	2	2362.41	4724.82
V00181	2025-07-08	Reloj	Calzado	1	1303.81	1303.81
V00182	2025-07-08	Camisa	Calzado	4	1021.99	4087.96
V00183	2025-07-08	Reloj	Accesorios	2	1250.46	2500.92
V00184	2025-07-08	Camisa	Calzado	3	2077.35	6232.05
V00185	2025-07-08	Reloj	Calzado	3	1262.2	3786.6
V00186	2025-07-08	Bolso	Moda	2	1737.32	3474.64
V00187	2025-07-08	Bolso	Accesorios	1	2288.71	2288.71
V00188	2025-07-08	Reloj	Calzado	1	1949.94	1949.94
V00189	2025-07-08	Bolso	Calzado	4	583.6	2334.4
V00190	2025-07-08	Pantalón	Calzado	4	1694.41	6777.64
V00191	2025-07-08	Camisa	Calzado	4	1602.2	6408.8
V00192	2025-07-08	Reloj	Calzado	4	924.71	3698.84
V00193	2025-07-08	Pantalón	Calzado	4	2140.32	8561.28
V00194	2025-07-08	Bolso	Calzado	4	720.73	2882.92
V00195	2025-07-08	Reloj	Calzado	1	2250.18	2250.18
V00196	2025-07-08	Zapato	Moda	4	588.46	2353.84
V00197	2025-07-08	Reloj	Moda	3	1969.8	5909.4
V00198	2025-07-08	Camisa	Calzado	2	2140.71	4281.42
V00199	2025-07-08	Bolso	Calzado	2	649.46	1298.92
V00200	2025-07-08	Pantalón	Moda	1	1701.27	1701.27
